id,snapshot_date,popularity,vote_average,vote_count
623238,2026-02-20,0.4602,6.7,31
760484,2026-02-20,1.6384,4.929,7
741011,2026-02-20,0.7374,8.0,265
514847,2026-02-20,7.5901,6.6,3533
659986,2026-02-20,0.8675,5.617,433
1125280,2026-02-20,0.0602,0.0,0
830749,2026-02-20,0.1621,7.0,1
766419,2026-02-20,0.0956,9.0,2
721582,2026-02-20,0.4492,0.0,0
982064,2026-02-20,0.0797,0.0,0
790227,2026-02-20,0.1922,5.6,17
808805,2026-02-20,0.2027,1.0,2
1065381,2026-02-20,0.1251,5.0,1
1306593,2026-02-20,0.1832,0.0,0
745567,2026-02-20,1.902,0.0,0
719010,2026-02-20,0.6172,6.0,6
741032,2026-02-20,0.7042,6.268,41
752640,2026-02-20,0.0859,4.0,3
745464,2026-02-20,0.2011,0.0,0
528402,2026-02-20,0.4587,5.6,31
935218,2026-02-20,0.4702,10.0,1
659290,2026-02-20,0.4979,6.668,184
732488,2026-02-20,0.2333,7.0,8
738730,2026-02-20,0.188,4.0,1
638423,2026-02-20,0.3548,7.3,16
637272,2026-02-20,0.2335,4.0,2
996248,2026-02-20,0.0306,0.0,0
708726,2026-02-20,0.0807,0.0,0
736485,2026-02-20,0.8122,6.3,180
707886,2026-02-20,2.1891,7.56,1157
690660,2026-02-20,0.0718,0.0,0
739017,2026-02-20,0.1421,5.5,1
729304,2026-02-20,1.2971,6.2,5
572197,2026-02-20,1.0645,6.9,31
661137,2026-02-20,0.4291,5.2,39
759927,2026-02-20,0.2475,1.0,2
740307,2026-02-20,0.1562,0.0,0
1050276,2026-02-20,0.2879,1.0,1
503335,2026-02-20,0.1118,4.5,10
493550,2026-02-20,0.4462,5.0,4
1270430,2026-02-20,0.0965,0.0,0
520318,2026-02-20,5.0551,7.2,192
779207,2026-02-20,0.0766,7.0,1
1100464,2026-02-20,0.0261,0.0,0
1154793,2026-02-20,0.2364,0.0,0
713607,2026-02-20,2.942,2.5,2
734725,2026-02-20,0.1034,8.5,2
1193602,2026-02-20,0.135,0.0,0
669117,2026-02-20,0.1841,4.0,2
650765,2026-02-20,0.2169,7.0,6
729286,2026-02-20,0.1218,2.0,1
576917,2026-02-20,0.5916,7.307,43
1100462,2026-02-20,0.0379,0.0,0
514207,2026-02-20,3.3319,6.859,872
662160,2026-02-20,0.0491,0.0,0
728148,2026-02-20,0.33,5.6,10
1225430,2026-02-20,0.0281,0.0,0
693158,2026-02-20,4.9788,6.57,359
744738,2026-02-20,0.5299,4.594,53
705715,2026-02-20,0.3554,3.7,67
734871,2026-02-20,0.903,5.0,2
696616,2026-02-20,0.3401,5.444,18
1100351,2026-02-20,0.0389,0.0,0
717676,2026-02-20,0.4182,6.4,22
569916,2026-02-20,0.3357,8.0,1
544075,2026-02-20,0.2625,5.879,95
748852,2026-02-20,0.4016,7.1,5
589973,2026-02-20,0.4084,5.2,14
672722,2026-02-20,0.7333,0.0,0
760752,2026-02-20,0.0542,0.0,0
400160,2026-02-20,5.6834,7.4,2949
594174,2026-02-20,0.3201,5.0,10
785743,2026-02-20,0.1343,0.0,0
748899,2026-02-20,0.189,6.6,12
1002896,2026-02-20,0.1176,8.5,1
694741,2026-02-20,0.6183,5.5,4
732310,2026-02-20,0.4615,6.573,41
988748,2026-02-20,0.0286,1.0,2
718030,2026-02-20,0.1016,6.4,7
646593,2026-02-20,4.6249,5.3,305
698599,2026-02-20,0.0536,0.0,0
741347,2026-02-20,0.1596,6.0,4
740842,2026-02-20,0.0727,0.0,0
1100352,2026-02-20,0.077,0.0,0
750596,2026-02-20,0.4554,6.9,15
704440,2026-02-20,2.3604,6.0,5
814084,2026-02-20,0.0457,4.2,4
1018321,2026-02-20,0.4545,0.0,0
736780,2026-02-20,0.0143,0.0,0
830079,2026-02-20,0.306,0.0,0
846979,2026-02-20,0.1083,0.0,0
653754,2026-02-20,1.4909,5.8,5
699709,2026-02-20,0.0621,0.0,0
788936,2026-02-20,0.0454,7.0,1
827873,2026-02-20,0.6595,3.0,2
721948,2026-02-20,0.2211,10.0,1
890513,2026-02-20,0.4511,10.0,1
660982,2026-02-20,3.6152,6.147,690
761765,2026-02-20,0.0902,6.0,1
838279,2026-02-20,0.1265,1.0,1
737503,2026-02-20,0.1582,0.0,0
579828,2026-02-20,2.192,5.9,348
779019,2026-02-20,0.786,6.5,50
755977,2026-02-20,0.2329,4.909,11
525798,2026-02-20,0.3623,4.625,8
715123,2026-02-20,2.8035,6.296,490
760179,2026-02-20,0.3487,6.6,14
784910,2026-02-20,0.0898,0.0,0
802242,2026-02-20,0.0256,0.0,0
955470,2026-02-20,0.0648,0.0,0
536725,2026-02-20,1.0266,5.1,42
704669,2026-02-20,0.0268,0.0,0
736052,2026-02-20,0.0281,0.0,0
720042,2026-02-20,1.6816,2.0,4
671474,2026-02-20,0.2082,3.6,12
852316,2026-02-20,0.4026,6.0,1
