id,popularity,vote_average,vote_count
714351,2.5712,5.5,114
748279,0.0595,0.0,0
765729,0.1805,5.0,7
931153,0.1284,3.5,2
661334,1.1048,6.7,39
700567,0.4317,1.2,2
1296963,0.0214,0.0,0
795193,0.2298,1.5,2
660047,0.6762,5.7,6
792325,0.0306,0.0,0
722075,0.1037,0.0,0
670426,0.5523,5.408,98
779485,0.077,0.0,0
872172,0.2586,7.0,1
665894,0.6424,6.5,36
779572,1.39,0.0,0
696893,0.0607,7.2,12
771119,0.0468,6.0,1
751097,0.1806,4.333,3
732927,0.2077,6.0,5
671397,0.6222,7.375,8
1183174,0.095,6.0,1
763233,0.0533,5.8,8
707610,3.7743,6.143,14
746547,0.4863,7.344,32
614971,0.3448,6.278,54
946791,0.1344,0.0,0
526702,2.9349,7.996,351
744929,0.1707,5.6,7
723122,0.6901,5.0,1
454433,1.2317,6.9,213
1402124,0.0621,0.0,0
680483,0.1016,0.0,0
684420,0.3364,3.739,46
1078340,0.4152,6.0,1
768891,0.0466,0.0,0
1283458,0.1038,0.0,0
687073,0.0602,0.0,0
504409,0.3456,3.8,5
653575,0.1545,6.13,54
763368,0.3383,5.227,33
741874,0.1343,4.0,1
662940,0.5718,6.5,3
688136,0.0377,0.0,0
582014,5.825,7.398,3595
699115,0.8956,0.0,0
752637,0.1074,5.7,3
661037,0.1391,4.4,8
741146,0.0363,7.0,1
717675,0.5241,6.335,127
724109,3.9948,5.5,12
753445,0.0486,0.0,0
706727,0.1788,4.5,13
547017,4.7542,6.1,198
757809,0.1398,3.0,1
893098,0.1525,0.0,0
733906,1.8538,6.1,17
893098,0.1525,0.0,0
546121,3.9125,7.227,2814
630211,1.0377,7.679,39
697741,0.4734,6.643,42
663459,0.646,6.919,118
743888,0.2746,3.618,119
718444,1.9877,5.598,726
774247,0.1533,6.0,1
721343,0.3341,5.9,19
680986,0.308,6.3,3
975027,0.0675,6.8,8
715658,0.3608,6.0,111
783839,0.3111,0.0,0
653745,0.1752,1.0,2
730060,0.1784,5.0,2
741667,0.1015,0.0,0
680338,0.1211,2.0,2
572123,0.3294,6.5,13
750630,0.1036,6.0,1
702101,0.0655,0.0,0
675323,0.4319,4.4,6
618229,0.3744,6.154,26
995468,0.069,4.5,4
668044,0.0877,4.0,3
865870,0.2277,0.0,0
746045,0.346,6.809,55
689160,2.0117,10.0,1
415311,1.094,4.925,147
784159,0.0575,0.0,0
686684,2.1113,5.8,38
748126,0.0642,0.0,0
622469,0.4183,6.6,66
1267219,0.1109,1.5,2
668366,0.1381,8.0,1
1111040,0.0965,0.0,0
670266,1.8565,6.069,246
752764,0.0214,0.0,0
677574,1.9387,5.9,35
717716,0.295,6.0,1
521007,3.8924,5.978,314
690306,0.0412,0.0,0
827554,0.0454,0.0,0
691126,0.1296,6.3,5
777280,0.1622,0.0,0
690667,0.0588,0.0,0
750121,0.3384,4.7,28
753144,0.0168,0.0,0
686827,0.0972,8.0,1
789774,0.0782,10.0,1
706634,1.1438,5.5,2
653910,0.5906,6.136,154
787619,0.4701,6.3,23
858634,1.0225,0.0,0
1035779,0.0311,0.0,0
797175,0.135,4.0,1
625552,2.3203,6.1,8
727348,1.5988,7.0,1
787487,0.0585,1.0,2
878259,0.4607,0.0,0
834699,0.1311,7.0,1
764141,0.0771,7.5,2
740883,0.2212,7.125,4
753740,0.0143,5.0,1
662167,0.559,4.1,7
741861,0.1221,3.0,2
743478,0.6098,8.0,1
1487433,0.0214,0.0,0
665166,0.5685,0.0,0
759870,1.7703,0.0,0
712110,0.4494,4.389,18
782672,0.0495,0.0,0
1106809,0.229,0.0,0
718529,0.2415,5.2,37
709169,0.3881,4.526,19
340102,6.0925,6.085,3646
743352,1.3617,8.0,0
852773,0.0214,0.0,0
858180,1.0391,6.0,2
659551,0.4458,5.518,28
738968,3.5824,6.0,1
682744,1.9288,6.5,4
660004,0.5081,5.727,64
711434,0.0538,4.5,2
521531,0.7335,5.973,92
1057293,0.0286,0.0,0
750638,3.581,10.0,1
781188,0.238,4.3,22
653601,4.2084,5.653,590
608386,0.2347,4.0,4
746381,0.3449,0.0,0
667018,0.1703,7.2,74
579221,0.6499,6.3,29
649580,0.1089,2.0,2
353047,4.8072,7.254,65
749309,0.1393,0.0,0
599520,0.1777,5.667,12
663881,2.0624,6.369,42
750109,4.3805,4.4,9
752898,1.5789,7.0,3
728939,0.402,5.811,46
701510,0.4766,5.3,26
642121,2.2785,7.9,153
739617,0.0722,0.0,0
741592,4.6044,4.6,59
539529,0.3913,6.7,51
752073,0.3941,7.3,3
667635,0.1048,7.0,5
757137,0.1434,3.0,1
707776,0.1084,0.0,0
743849,0.2257,5.0,3
592834,6.3149,6.868,1351
658462,0.2088,5.7,13
756363,0.2429,5.5,2
727515,0.0607,6.0,1
1390083,0.1945,0.0,0
661950,1.4451,5.9,199
791862,0.3779,7.0,1
594089,0.1819,5.9,17
943898,0.0984,0.0,0
665488,5.1331,5.728,248
759893,0.1121,6.0,5
643791,0.2028,4.8,23
593517,0.0423,4.0,4
726239,0.4466,6.13,69
653727,0.3142,5.219,16
647551,0.0769,3.0,1
639965,1.3227,5.4,22
849464,0.9614,0.0,0
728796,0.5489,5.659,88
598215,0.8722,5.2,130
619594,1.1075,6.3,189
733366,0.0841,7.0,2
733721,0.6645,6.0,3
745475,0.156,6.9,7
1453444,1.1607,0.0,0
740581,0.7033,7.8,4
645287,0.187,0.0,0
821175,0.07,0.0,0
714903,0.8034,4.0,1
698489,0.1279,6.3,9
966136,0.0352,0.0,0
746952,0.0968,0.0,0
756602,0.1918,0.0,0
684684,2.9168,5.291,127
728129,0.2224,5.9,4
1288484,0.1161,9.0,1
713059,0.3491,3.853,34
1441506,0.1032,0.0,0
592717,0.5237,6.593,44
575088,1.7537,6.359,365
780592,2.1469,0.0,0
696507,1.0034,7.58,44
714040,0.0338,6.0,1
649523,1.373,5.8,19
743022,0.3114,5.407,43
748912,0.1925,8.2,4
736609,0.1645,0.0,0
663706,0.4894,3.7,24
702525,1.7191,7.1,225
629994,0.1525,6.6,8
754856,0.1867,0.0,0
656558,0.2218,3.5,2
701548,0.2856,4.063,8
806023,0.0848,0.0,0
850861,0.1262,0.0,0
822009,0.222,6.7,6
793602,2.1958,5.0,2
830239,0.0357,0.0,0
689540,0.3433,6.605,19
1099196,0.1691,0.0,0
694320,0.0579,6.0,1
663160,0.7391,5.5,2
1167314,0.6799,0.0,0
806586,0.0534,0.0,0
766878,0.1481,7.0,4
648705,1.4088,5.4,19
728131,0.0809,6.75,30
586947,1.8567,6.5,2
508935,2.6118,7.0,315
727006,0.0869,6.833,6
669973,0.1606,7.3,3
540414,0.6533,6.228,57
586461,4.3723,6.6,823
648756,0.1311,6.5,2
728912,0.1689,6.353,17
566397,2.1041,7.088,147
653738,0.1491,9.5,2
647563,0.2264,3.0,8
724717,1.449,5.233,135
547016,5.7392,7.108,4696
703134,1.0905,5.67,191
801291,0.1311,0.0,0
803186,1.2465,6.0,1
737793,0.5132,7.172,29
764135,0.3769,4.6,5
821166,0.0071,0.0,0
660549,0.5247,5.5,41
630566,5.2272,8.242,1042
875423,0.047,7.0,1
848924,0.4472,0.0,0
859430,0.1098,10.0,1
666338,0.3039,5.8,15
736169,0.9266,4.3,7
916455,1.6593,0.0,0
602654,3.4558,5.539,411
726420,0.3017,6.3,3
814414,0.0776,0.0,0
630220,0.8456,7.404,706
718750,0.4892,0.0,0
694910,0.0735,0.0,0
1401194,0.2512,0.0,0
654981,0.1472,6.7,3
570670,7.0127,7.101,6130
738967,1.0903,8.0,1
627103,0.6824,5.966,88
1139744,0.1288,0.0,0
724901,0.7335,4.7,23
794799,0.6358,9.5,2
744152,0.8254,0.0,0
669160,0.0404,5.0,1
749544,0.213,5.1,7
785848,0.258,0.0,0
757853,0.2434,5.0,5
741110,0.2821,5.6,28
664177,0.5577,5.948,164
663236,0.0651,0.0,0
627616,0.2248,6.4,19
844203,0.2059,2.0,2
663971,0.0281,6.0,1
740966,1.2533,6.7,35
508439,4.7461,7.645,6477
1538811,0.0654,0.0,0
672955,0.7078,7.6,48
698058,0.0143,3.5,2
575157,0.2155,5.8,2
703732,1.4064,7.3,3
667858,1.4065,1.0,2
755202,0.1481,8.0,1
675363,0.0472,0.0,0
915275,0.0379,0.0,0
1266758,0.1061,0.0,0
749644,0.9242,6.0,1
718752,0.061,0.0,0
586591,0.2148,4.0,3
741120,0.0647,0.0,0
667331,0.0759,6.0,2
612995,0.2446,5.2,14
759930,0.1831,8.045,11
927238,0.0463,0.0,0
851233,0.4899,4.0,2
669179,0.6046,5.0,5
691478,0.2185,6.3,3
793257,0.0838,10.0,1
